factor_id,unit,context,name,fullname
366,kg,emission/air,TSP,TSP - non combustion - Mining of coking coal - air
367,kg,emission/air,TSP,TSP - non combustion - Mining of lignite (brown coal) - air
368,kg,emission/air,TSP,TSP - non combustion - Mining of sub-bituminous coal - air
369,kg,emission/air,TSP,TSP - non combustion - Molybdenum ores and concentrates - air
370,kg,emission/air,TSP,TSP - non combustion - N- fertilizer production - air
371,kg,emission/air,TSP,TSP - non combustion - Nickel ores and concentrates - air
372,kg,emission/air,TSP,"TSP - non combustion - Nickel, unwrought - air"
373,kg,emission/air,TSP,TSP - non combustion - Oil refinery - air
374,kg,emission/air,TSP,"TSP - non combustion - Pig iron production, blast furnace - air"
375,kg,emission/air,TSP,TSP - non combustion - Platinum ores and concentrates - air
376,kg,emission/air,TSP,TSP - non combustion - Primary aluminium production - air
377,kg,emission/air,TSP,TSP - non combustion - Production of coke oven coke - air
378,kg,emission/air,TSP,TSP - non combustion - Production of gascoke - air
379,kg,emission/air,TSP,"TSP - non combustion - Refined copper; unwrought, not alloyed - air"
380,kg,emission/air,TSP,"TSP - non combustion - Refined lead, unwrought - air"
381,kg,emission/air,TSP,TSP - non combustion - Secondary aluminium production - air
382,kg,emission/air,TSP,"TSP - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air"
383,kg,emission/air,TSP,TSP - non combustion - Silver ores and concentrates - air
384,kg,emission/air,TSP,TSP - non combustion - Steel production: basic oxygen furnace - air
385,kg,emission/air,TSP,TSP - non combustion - Steel production: electric arc furnace - air
386,kg,emission/air,TSP,TSP - non combustion - Steel production: open hearth furnace - air
387,kg,emission/air,TSP,TSP - non combustion - Tin ores and concentrates - air
388,kg,emission/air,TSP,TSP - non combustion - Unrefined copper; copper anodes for electrolytic refining - air
389,kg,emission/air,TSP,TSP - non combustion - Zinc ores and concentrates - air
390,kg,emission/air,TSP,"TSP - non combustion - Zinc, unwrought, not alloyed - air"
391,kg,emission/air,Zn,Zn - non combustion - Agglomeration plant - pellets - air
392,kg,emission/air,Zn,Zn - non combustion - Agglomeration plant - sinter - air
393,kg,emission/air,Zn,Zn - non combustion - Glass production - air
394,kg,emission/air,Zn,"Zn - non combustion - Nickel, unwrought - air"
395,kg,emission/air,Zn,"Zn - non combustion - Pig iron production, blast furnace - air"
396,kg,emission/air,Zn,"Zn - non combustion - Refined copper; unwrought, not alloyed - air"
397,kg,emission/air,Zn,"Zn - non combustion - Refined lead, unwrought - air"
398,kg,emission/air,Zn,Zn - non combustion - Steel production: basic oxygen furnace - air
399,kg,emission/air,Zn,Zn - non combustion - Steel production: electric arc furnace - air
400,kg,emission/air,Zn,Zn - non combustion - Steel production: open hearth furnace - air
401,kg,emission/air,Zn,Zn - non combustion - Unrefined copper; copper anodes for electrolytic refining - air
402,kg,emission/air,Zn,"Zn - non combustion - Zinc, unwrought, not alloyed - air"
403,kg,emission/air,SF6,SF6 - air
404,kg CO2-eq,emission/air,HFC,HFC - air
405,kg CO2-eq,emission/air,PFC,PFC - air
406,kg,emission/air,CH4,CH4 - agriculture - air
407,kg,emission/air,CO2,CO2 - agriculture - peat decay - air
408,kg,emission/air,N2O,N2O - agriculture - air
409,kg,emission/air,NH3,NH3 - agriculture - air
410,kg,emission/air,NOX,NOX - agriculture - air
411,kg,emission/air,CH4,CH4 - waste - air
412,kg,emission/air,CO,CO - waste - air
413,kg,emission/air,CO2,CO2 - waste - biogenic - air
414,kg,emission/air,CO2,CO2 - waste - fossil - air
415,kg,emission/air,NH3,NH3 - waste - air
416,kg,emission/air,NOX,NOX - waste - air
417,kg,emission/air,PM2.5,PM2.5 - waste - air
418,kg,emission/air,SOx,SOx - waste - air
419,1000 p,economic/employment,Employment people: Low-skilled male,Employment people: Low-skilled male
420,1000 p,economic/employment,Employment people: Low-skilled female,Employment people: Low-skilled female
421,1000 p,economic/employment,Employment people: Medium-skilled male,Employment people: Medium-skilled male
422,1000 p,economic/employment,Employment people: Medium-skilled female,Employment people: Medium-skilled female
423,1000 p,economic/employment,Employment people: High-skilled male,Employment people: High-skilled male
424,1000 p,economic/employment,Employment people: High-skilled female,Employment people: High-skilled female
425,M.hr,economic/employment,Employment hours: Low-skilled male,Employment hours: Low-skilled male
426,M.hr,economic/employment,Employment hours: Low-skilled female,Employment hours: Low-skilled female
427,M.hr,economic/employment,Employment hours: Medium-skilled male,Employment hours: Medium-skilled male
428,M.hr,economic/employment,Employment hours: Medium-skilled female,Employment hours: Medium-skilled female
429,M.hr,economic/employment,Employment hours: High-skilled male,Employment hours: High-skilled male
430,M.hr,economic/employment,Employment hours: High-skilled female,Employment hours: High-skilled female
431,TJ,natural_resource/energy,Energy use,Energy use - Emission relevant
432,TJ,natural_resource/energy,Energy use,Energy use - Final
433,TJ,natural_resource/energy,Energy use,Energy use - Gross
434,TJ,natural_resource/energy,Energy use,Energy use - Net
435,km2,natural_resource/land,Artificial Surfaces,Artificial Surfaces
436,km2,natural_resource/land,Cropland,Cropland - cropped area - Cereal grains nec
437,km2,natural_resource/land,Cropland,Cropland - cropped area - Crops nec
438,km2,natural_resource/land,Cropland,Cropland - cropped area - Oil seeds
439,km2,natural_resource/land,Cropland,Cropland - cropped area - Paddy rice
440,km2,natural_resource/land,Cropland,Cropland - cropped area - Plant-based fibers
441,km2,natural_resource/land,Cropland,"Cropland - cropped area - Sugar cane, sugar beet"
442,km2,natural_resource/land,Cropland,"Cropland - cropped area - Vegetables, fruit, nuts"
443,km2,natural_resource/land,Cropland,Cropland - cropped area - Wheat
444,km2,natural_resource/land,Cropland,Cropland - fallowed area - Cereal grains nec
445,km2,natural_resource/land,Cropland,Cropland - fallowed area - Crops nec
446,km2,natural_resource/land,Cropland,Cropland - fallowed area - Oil seeds
447,km2,natural_resource/land,Cropland,Cropland - fallowed area - Paddy rice
448,km2,natural_resource/land,Cropland,Cropland - fallowed area - Plant-based fibers
449,km2,natural_resource/land,Cropland,"Cropland - fallowed area - Sugar cane, sugar beet"
450,km2,natural_resource/land,Cropland,"Cropland - fallowed area - Vegetables, fruit, nuts"
451,km2,natural_resource/land,Cropland,Cropland - fallowed area - Wheat
452,km2,natural_resource/land,Cropland,Cropland - fallowed area-Cattle
453,km2,natural_resource/land,Cropland,Cropland - fallowed area-Meat animals nec
454,km2,natural_resource/land,Cropland,Cropland - fallowed area-Pigs
455,km2,natural_resource/land,Cropland,Cropland - fallowed area-Poultry
456,km2,natural_resource/land,Cropland,Cropland - fallowed area-Raw milk
457,km2,natural_resource/land,Forest,Forest
458,km2,natural_resource/land,Perm. meadows & pastures,Perm. meadows & pastures - Cultivated - Grazing-Cattle
459,km2,natural_resource/land,Perm. meadows & pastures,Perm. meadows & pastures - Cultivated - Grazing-Meat animals nec
460,km2,natural_resource/land,Perm. meadows & pastures,Perm. meadows & pastures - Cultivated - Grazing-Raw milk
461,km2,natural_resource/land,Perm. meadows & pastures,Perm. meadows & pastures - Nat. growing - Grazing-Cattle
462,km2,natural_resource/land,Perm. meadows & pastures,Perm. meadows & pastures - Nat. growing - Grazing-Meat animals nec
463,km2,natural_resource/land,Perm. meadows & pastures,Perm. meadows & pastures - Nat. growing - Grazing-Raw milk
464,km2,natural_resource/land,Permanent pastures,Permanent pastures - Grazing-Cattle
465,km2,natural_resource/land,Permanent pastures,Permanent pastures - Grazing-Meat animals nec
466,km2,natural_resource/land,Permanent pastures,Permanent pastures - Grazing-Raw milk
467,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Rice
468,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Wheat
469,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Cereals n.e.c.
470,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Roots and tubers
471,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Pulses
472,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Nuts
473,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Vegetables
474,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Fruits
475,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Oil bearing crops
476,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Sugar crops
477,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Fibres
478,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Spice - beverage - pharmaceutical crops
479,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Primary Crops - Tobacco
480,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Crop residues - Straw
481,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Crop residues - Other crop residues (sugar and fodder beet leaves etc)
482,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Grazed biomass
483,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Forestry - Other crops n.e.c
484,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Forestry - Timber (Industrial roundwood)
485,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Forestry - Wood fuel and other extraction
486,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fishery - Wild fish catch
487,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fishery - All other aquatic animals
488,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fishery - Aquatic plants
489,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fossil Fuels - Anthracite
490,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fossil Fuels - Coking Coal
491,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fossil Fuels - Other Bituminous Coal
492,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fossil Fuels - Other Sub-Bituminous Coal
493,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fossil Fuels - Lignite (brown coal)
494,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fossil Fuels - Peat
495,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fossil Fuels - Crude oil
496,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fossil Fuels - Oil shale and tar sands
497,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fossil Fuels - Natural gas
498,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Fossil Fuels - Natural gas liquids
499,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Uranium ores
500,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Iron ores
501,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Copper ores
502,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Nickel ores
503,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Bauxite and other aluminium ores - gross ore
504,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Silver ores
505,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Gold ores
506,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Platinum group metal ores
507,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Lead ores
508,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Tin ores
509,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Zinc ores
510,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Chromium ores
511,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Manganese ores
512,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Other metal ores
513,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Metal Ores - Titanium ores
514,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Ornamental or building stone
515,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Chalk
516,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Dolomite
517,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Limestone
518,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Gypsum
519,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Structural clays
520,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Specialty clays
521,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Industrial sand and gravel
522,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Sand gravel and crushed rock for construction
523,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Fertilizer minerals n.e.c.
524,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Chemical minerals n.e.c.
525,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Industrial minerals n.e.c
526,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Salt
527,kt,natural_resource/in_ground,Domestic Extraction Used,Domestic Extraction Used - Non-Metallic Minerals - Other non-metallic minerals n.e.c.
528,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - rice
529,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - wheat
530,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - other cereals
531,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - roots and tubers
532,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - sugar crops
533,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - pulses
534,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - nuts
535,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - oil crops
536,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - vegetables
537,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - fruits
538,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - fibres
539,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - other crops
540,Mm3,emission/water,Water Consumption Green,Water Consumption Green - Agriculture - fodder crops
541,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - rice
542,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - wheat
543,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - other cereals
544,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - roots and tubers
545,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - sugar crops
546,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - pulses
547,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - nuts
548,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - oil crops
549,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - vegetables
550,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - fruits
551,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - fibres
552,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - other crops
553,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Agriculture - fodder crops
554,Mm3,emission/air,Water Consumption Blue,Water Consumption Blue - Livestock - dairy cattle
555,Mm3,emission/air,Water Consumption Blue,Water Consumption Blue - Livestock - nondairy cattle
556,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Livestock - pigs
557,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Livestock - sheep
558,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Livestock - goats
559,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Livestock - buffaloes
560,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Livestock - camels
561,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Livestock - horses
562,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Livestock - chicken
563,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Livestock - turkeys
564,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Livestock - ducks
565,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Livestock - geese
566,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Products of meat cattle
567,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Products of meat pigs
568,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Products of meat poultry
569,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Meat products nec
570,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - products of Vegetable oils and fats
571,Mm3,emission/air,Water Consumption Blue,Water Consumption Blue - Manufacturing - Dairy products
572,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Processed rice
573,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Sugar
574,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Food products nec
575,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Beverages
576,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Fish products
577,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Tobacco products (16)
578,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Textiles (17)
579,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Wearing apparel; furs (18)
580,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Leather and leather products (19)
581,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Pulp
582,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Secondary paper for treatment, Re-processing of secondary paper into new pulp"
583,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Paper and paper products
584,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Printed matter and recorded media (22)
585,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Plastics, basic"
586,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
587,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - N-fertiliser
588,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - P- and other fertiliser
589,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Chemicals nec
590,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Rubber and plastic products (25)
591,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Glass and glass products
592,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Secondary glass for treatment, Re-processing of secondary glass into new glass"
593,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Ceramic goods
594,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Bricks, tiles and construction products, in baked clay"
595,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Cement, lime and plaster"
596,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Ash for treatment, Re-processing of ash into clinker"
597,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Other non-metallic mineral products
598,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Basic iron and steel and of ferro-alloys and first products thereof
599,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Secondary steel for treatment, Re-processing of secondary steel into new steel"
600,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Precious metals
601,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
602,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Aluminium and aluminium products
603,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
604,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Lead, zinc and tin and products thereof"
605,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Secondary lead for treatment, Re-processing of secondary lead into new lead"
606,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Copper products
607,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Secondary copper for treatment, Re-processing of secondary copper into new copper"
608,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Other non-ferrous metal products
609,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
610,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Fabricated metal products, except machinery and equipment (28)"
611,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Machinery and equipment n.e.c. (29)
612,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Office machinery and computers (30)
613,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Electrical machinery and apparatus n.e.c. (31)
614,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Radio, television and communication equipment and apparatus (32)"
615,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Medical, precision and optical instruments, watches and clocks (33)"
616,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Manufacturing - Motor vehicles, trailers and semi-trailers (34)"
617,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Other transport equipment (35)
618,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Manufacturing - Furniture; other manufactured goods n.e.c. (36)
619,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - tower - Electricity by coal
620,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - tower - Electricity by gas
621,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - tower - Electricity by nuclear
622,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - tower - Electricity by hydro
623,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - tower - Electricity by wind
624,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - tower - Electricity by petroleum and other oil derivatives
625,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - tower - Electricity by biomass and waste
626,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - tower - Electricity by solar photovoltaic
627,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - tower - Electricity by solar thermal
628,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Electricity - tower - Electricity by tide, wave, ocean"
629,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - tower - Electricity by Geothermal
630,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - tower - Electricity nec
631,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - once-through - Electricity by coal
632,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - once-through - Electricity by gas
633,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - once-through - Electricity by nuclear
634,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - once-through - Electricity by hydro
635,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - once-through - Electricity by wind
636,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - once-through - Electricity by petroleum and other oil derivatives
637,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - once-through - Electricity by biomass and waste
638,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - once-through - Electricity by solar photovoltaic
639,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - once-through - Electricity by solar thermal
640,Mm3,emission/water,Water Consumption Blue,"Water Consumption Blue - Electricity - once-through - Electricity by tide, wave, ocean"
641,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - once-through - Electricity by Geothermal
642,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Electricity - once-through - Electricity nec
643,Mm3,emission/water,Water Consumption Blue,Water Consumption Blue - Domestic - domestic Water Consumption Blue
644,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Products of meat cattle
645,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Products of meat pigs
646,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Products of meat poultry
647,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Meat products nec
648,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - products of Vegetable oils and fats
649,Mm3,emission/air,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Dairy products
650,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Processed rice
651,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Sugar
652,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Food products nec
653,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Beverages
654,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Fish products
655,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Tobacco products (16)
656,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Textiles (17)
657,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Wearing apparel; furs (18)
658,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Leather and leather products (19)
659,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Pulp
660,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Secondary paper for treatment, Re-processing of secondary paper into new pulp"
661,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Paper and paper products
662,Mm3,emission/water,Water Withdrawal Blue,Water Withdrawal Blue - Manufacturing - Printed matter and recorded media (22)
663,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Plastics, basic"
664,Mm3,emission/water,Water Withdrawal Blue,"Water Withdrawal Blue - Manufacturing - Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
